   1 -47.24  -9.03 17.93  1.09      a
   2 -46.73 -38.55 17.23  1.16      a
   3 -46.38 -10.22 17.35  1.00      a
   4 -45.70 -49.12 16.39  1.26      a
   5 -44.96 -18.82 15.66  1.14      a
   6 -44.87 -48.64 14.49  1.08      a
   7 -44.79  -3.29 16.48  0.17      a
   8 -43.84   4.40 17.75  1.14      b
   9 -43.63 -16.98 16.30  0.28      a
  10 -43.54   0.50 17.38  1.39  0.19
  11 -42.88 -12.94 16.21  1.07      a
  12 -42.70 -49.20 16.42  1.11      a
  13 -42.19 -45.54 15.16  1.19      a
  14 -41.90   8.37 17.47  1.08  0.17
  15 -41.78 -28.69 16.58  0.76      a
  16 -41.78 -17.53 17.20  1.04      a
  17 -41.34 -42.29 17.21  1.11      a
  18 -41.03 -20.06 15.96  1.00      a
  19 -40.99  -8.21 16.14  1.02  0.77
  20 -40.92 -28.85 17.07  1.09      a
  21 -40.89 -13.55 15.87  0.84      a
  22 -40.59 -24.09 16.17  0.40      a
  23 -40.58 -55.82 14.71  1.09      a
  24 -40.53 -11.80 17.87  1.03      a
  25 -40.50  -5.83 17.43  1.04  0.34
  26 -40.35 -15.32 17.05  1.01      a
  27 -40.33 -55.92 16.25  0.90      a
  28 -40.15  -0.23 17.13  1.08  0.23
  29 -39.98 -37.30 16.38  0.39      a
  30 -39.86 -54.70 16.07  1.17      a
  31 -38.64 -42.23 16.46  0.25      a
  32 -38.62  -2.10 17.08  0.13 -1.01
  33 -38.58 -23.88 16.16  0.24      a
  34 -38.25 -10.97 16.36  1.00  0.66
  35 -37.86  -3.67 14.86  1.01  0.73
  36 -37.84 -23.91 16.03  0.88      a
  37 -37.75 -23.52 17.54  0.60      a
  38 -37.70 -25.57 15.62  0.41      a
  39 -37.31  -5.18 17.79  1.08  0.03
  40 -37.19   9.44 16.20  0.30 -0.05
  41 -37.07 -18.53 17.89  0.90      a
  42 -36.81   5.85 16.83  1.10  0.25
  43 -36.80 -28.68 17.39  1.16      a
  44 -36.35  -8.83 14.36  0.99  1.13
  45 -36.31 -10.83 17.88  1.08  0.25
  46 -36.30   6.25 16.02  0.51  0.16
