x,y
58.64,47.88
47.95,45.33
60.10,44.22
41.85,46.97
62.00,51.30
50.00,48.01
51.48,61.50
34.64,60.23
32.38,33.29
38.76,32.10
43.22,45.16
55.93,69.13
51.18,35.04
58.79,34.34
58.21,57.66
44.82,47.72
55.00,33.30
54.72,60.49
41.07,45.94
47.28,70.09
47.42,46.95
42.85,48.14
56.27,51.22
57.73,48.35
53.18,41.07
63.31,51.35
51.12,53.00
57.51,49.09
47.54,45.42
50.95,58.53
48.13,62.32
52.02,59.38
62.91,56.91
54.87,50.93
60.26,52.81
58.10,53.60
51.68,33.45
54.27,44.24
44.25,53.09
51.54,54.18
47.17,77.79
53.20,51.83
61.81,34.56
54.95,58.09
45.11,44.82
48.22,67.20
56.52,54.97
71.60,43.13
62.32,50.34
46.25,27.21
44.66,56.08
52.99,63.09
63.67,35.57
69.97,55.16
51.68,66.59
35.87,55.31
63.53,45.88
53.39,48.16
49.67,42.49
52.35,49.21
60.89,52.10
71.81,57.01
50.22,40.54
57.24,55.61
42.31,51.97
54.67,69.71
36.29,43.24
30.73,78.44
45.16,54.56
62.33,53.14
48.23,44.45
55.48,44.79
56.38,41.69
63.34,52.05
67.91,63.91
42.26,55.61
36.61,49.67
41.01,40.71
52.68,38.68
54.68,58.65
56.15,50.86
52.64,38.36
43.19,29.02
50.05,58.94
45.60,47.27
52.60,66.51
37.44,62.50
54.23,49.28
43.35,46.11
34.67,34.02
41.75,38.32
51.01,53.27
41.61,39.11
53.81,54.32
48.07,29.03
61.89,53.46
42.29,19.90
54.00,41.42
58.56,50.22
45.12,53.88
