x,y
30.83,63.69
35.35,53.56
31.33,60.39
29.42,64.86
35.31,53.71
33.39,62.91
25.25,63.54
34.01,61.26
29.28,65.71
24.49,62.05
22.75,70.66
31.97,56.81
33.07,63.84
34.13,47.94
31.53,52.98
30.47,56.95
35.29,60.43
27.59,59.10
31.31,56.21
36.51,61.56
30.01,65.84
21.66,66.99
31.34,72.65
26.66,60.59
29.25,57.71
29.76,54.36
27.25,59.97
33.40,60.12
34.89,58.18
37.79,66.20
27.39,56.74
37.09,55.45
30.64,66.65
30.94,60.10
34.62,59.06
23.58,51.53
26.76,69.74
23.67,58.39
30.76,60.90
26.88,58.04
31.07,66.39
13.27,67.50
33.92,49.96
32.08,65.69
38.42,60.24
27.99,62.35
29.08,45.82
26.28,60.72
26.22,67.80
33.98,58.71
19.36,57.15
33.02,44.52
25.76,58.51
22.37,60.06
28.96,70.57
16.82,62.55
32.44,56.21
28.75,65.01
24.10,75.80
31.29,73.23
34.27,62.92
34.70,51.47
45.03,54.32
31.85,63.88
27.89,52.44
29.95,61.74
22.97,59.69
33.57,55.72
37.46,63.84
20.69,63.00
26.23,59.17
28.50,57.87
36.16,56.56
24.25,49.03
31.77,58.31
28.33,65.25
36.93,60.61
30.97,58.16
28.55,53.45
31.03,62.18
21.96,56.07
32.27,50.81
33.49,61.53
22.58,67.57
19.22,67.52
33.50,58.12
29.26,57.84
36.61,59.43
29.84,56.88
35.68,59.94
22.10,44.61
32.04,55.37
27.73,59.13
28.25,54.30
35.57,67.22
31.63,56.71
29.22,53.31
28.83,58.89
24.16,57.86
36.34,65.05
